rd_zh,rd_en
九甲一路,JIUJIA 1ST RD.
九甲二巷,JIUJIA 2ND LN.
九甲二路,JIUJIA 2ND RD.
九甲三路,JIUJIA 3RD RD.
九甲五路,JIUJIA 5TH RD.
九甲六路,JIUJIA 6TH RD.
九甲七路,JIUJIA 7TH RD.
九甲巷,JIUJIA LN.
九甲路,JIUJIA RD.
九份,JIUFEN
九份子大道,JIUFENZI BLVD.
九份路,JIUFEN RD.
九份寮,JIUFENLIAO
九如一街,JIURU 1ST ST.
九如一路,JIURU 1ST RD.
九如二街,JIURU 2ND ST.
九如二路,JIURU 2ND RD.
九如三街,JIURU 3RD ST.
九如三路,JIURU 3RD RD.
九如四路,JIURU 4TH RD.
九如街,JIURU ST.
九如路,JIURU RD.
九如路一段,"SEC. 1, JIURU RD."
九如路二段,"SEC. 2, JIURU RD."
九如路三段,"SEC. 3, JIURU RD."
九成街,JIUCHENG ST.
九曲路,JIUQU RD.
九曲路北極巷,"BEIJI LN., JIUQU RD."
九江街,JIUJIANG ST.
九車籠,JIUCHELONG
九里路,JIULI RD.
九芎坑,JIUQIONGKENG
九芎坪,JIUQIONGPING
九芎林,JIUQIONGLIN
九芎林街,JIUQIONGLIN ST.
九芎根,JIUQIONGGEN
九芎湖,JIUQIONGHU
九芎街,JIUQIONG ST.
九芎路,JIUQIONG RD.
九芎橋路,JIUQIONGQIAO RD.
九和一街,JIUHE 1ST ST.
九和二街,JIUHE 2ND ST.
九和三街,JIUHE 3RD ST.
九和五街,JIUHE 5TH ST.
九和六街,JIUHE 6TH ST.
九和路,JIUHE RD.
九明街,JIUMING ST.
九東路,JIUDONG RD.
九洲路,JIUZHOU RD.
九重橋,JIUCHONG BRIDGE
九座寮,JIUZUOLIAO
九清街,JIUQING ST.
九棚路,JIUPENG RD.
九棚路大愛巷,"DA'AI LN., JIUPENG RD."
九湖,JIUHU
九湖一街,JIUHU 1ST ST.
九湖二街,JIUHU 2ND ST.
九湖三街,JIUHU 3RD ST.
九隆,JIULONG
九寮子埔,JIULIAOZIPU
九層林巷,JIUCENGLIN LN.
九層嶺,JIUCENGLING
九德街,JIUDE ST.
九龍一街,JIULONG 1ST ST.
九龍二街,JIULONG 2ND ST.
九龍三街,JIULONG 3RD ST.
九龍六街,JIULONG 6TH ST.
九龍東街,JIULONG E. ST.
九龍街,JIULONG ST.
九龍路,JIULONG RD.
九龍橫巷,JIULONG SIDE LN.
九讚頭,JIUZANTOU
二十分,ERSHIFEN
二十份,ERSHIFEN
二十張路,ERSHIZHANG RD.
二仁路一段,"SEC. 1, ERREN RD."
二仁路二段,"SEC. 2, ERREN RD."
二王路,ERWANG RD.
二本松,ERBENSONG
二甲,ERJIA
二甲一街,ERJIA 1ST ST.
二甲二街,ERJIA 2ND ST.
二甲三街,ERJIA 3RD ST.
二甲路,ERJIA RD.
二甲路中心巷,"ZHONGXIN LN., ERJIA RD."
二甲路佳美巷,"JIAMEI LN., ERJIA RD."
二份街,ERFEN ST.
二圳路,ERZUN RD.
二成街,ERCHENG ST.
二行一路,ERXING 1ST RD.
二庄,ERZHUANG
二坑,ERKENG
二和街,ERHE ST.
二坪,ERPING
二坪仔,ERPINGZAI
二坪巷,ERPING LN.
二坪頂,ERPINGDING
二坪路,ERPING RD.
二坡,ERPO
二房,ERFANG
二抱路一段,"SEC. 1, ERBAO RD."
二抱路二段,"SEC. 2, ERBAO RD."
二抱路三段,"SEC. 3, ERBAO RD."
二抱路四段,"SEC. 4, ERBAO RD."
二林巷,ERLIN LN.
二油路,ERYOU RD.
二空二街,ERKONG 2ND ST.
二空路,ERKONG RD.
二城巷,ERCHENG LN.
二城路,ERCHENG RD.
二美街,ERMEI ST.
二苓路,ERLING RD.
二重港,ERCHONGGANG
二重溝,ERCHONGGOU
二重溪,ERCHONGXI
二埔,ERPU
二崁,ERKAN
二崁一路,ERKAN 1ST RD.
二崁路,ERKAN RD.
二格路,ERGE RD.
二高路,ERGAO RD.
二港巷,ERGANG LN.
二湖,ERHU
二湖路,ERHU RD.
二結路,ERJIE RD.
二溪路一段,"SEC. 1, ERXI RD."
二溪路一段田中巷,"TIANZHONG LN., SEC. 1, ERXI RD."
二溪路一段湖西巷,"HUXI LN., SEC. 1, ERXI RD."
二溪路二段,"SEC. 2, ERXI RD."
二溪路二段北勢一巷,"BEISHI 1ST LN., SEC. 2, ERXI RD."
二溪路二段北勢二巷,"BEISHI 2ND LN., SEC. 2, ERXI RD."
二溪路二段北勢三巷,"BEISHI 3RD LN., SEC. 2, ERXI RD."
二溪路二段北勢四巷,"BEISHI 4TH LN., SEC. 2, ERXI RD."
二溪路二段車店東巷,"CHEDIAN E. LN., SEC. 2, ERXI RD."
二溪路二段橋北巷,"QIAOBEI LN., SEC. 2, ERXI RD."
二溪路二段橋南巷,"QIAONAN LN., SEC. 2, ERXI RD."
二溪路三段,"SEC. 3, ERXI RD."
二溪路六段,"SEC. 6, ERXI RD."
二溪路七段,"SEC. 7, ERXI RD."
二溪路大突巷,"DATU LN., ERXI RD."
二溪路草一段,"CAO SEC. 1, ERXI RD."
二溪路草二段,"CAO SEC. 2, ERXI RD."
二萬平,ERWANPING
二聖一巷,ERSHENG 1ST LN.
二聖一街,ERSHENG 1ST ST.
二聖一路,ERSHENG 1ST RD.
二聖二巷,ERSHENG 2ND LN.
二聖二街,ERSHENG 2ND ST.
二聖二路,ERSHENG 2ND RD.
二聖三巷,ERSHENG 3RD LN.
二聖三街,ERSHENG 3RD ST.
二聖街,ERSHENG ST.
二聖路,ERSHENG RD.
二部路,ERBU RD.
二塹路,ERQIAN RD.
二儀街,ERYI ST.
二寮,ERLIAO
二寮坑,ERLIAOKENG
二擔,ERDAN
二橋,ERQIAO
二橋街,ERQIAO ST.
二橋新村,ERQIAO NEW VIL.
二鎮,ERZHEN
二灣,ERWAN
二鬮路,ERJIU RD.
人和一街,RENHE 1ST ST.
人和一路,RENHE 1ST RD.
人和二街,RENHE 2ND ST.
人和二路,RENHE 2ND RD.
人和三街,RENHE 3RD ST.
人和三路,RENHE 3RD RD.
人和五路,RENHE 5TH RD.
人和六路,RENHE 6TH RD.
人和七路,RENHE 7TH RD.
人和八路,RENHE 8TH RD.
人和九路,RENHE 9TH RD.
人和十一路,RENHE 11TH RD.
人和十二路,RENHE 12TH RD.
人和中路,RENHE CENTRAL RD.
人和巷,RENHE LN.
人和路,RENHE RD.
入船路,RUCHUAN RD.
八五山,BAWUSHAN
八十分,BASHIFEN
八十尺橋,BASHICHI BRIDGE
八分寮,BAFENLIAO
八分寮路,BAFENLIAO RD.
八斗,BADOU
八斗街,BADOU ST.
八仙一路,BAXIAN 1ST RD.
八仙二路,BAXIAN 2ND RD.
八仙三路,BAXIAN 3RD RD.
八仙五路,BAXIAN 5TH RD.
八仙洞,BAXIANDONG
八仙路,BAXIAN RD.
八田路一段,"SEC. 1, BATIAN RD."
八田路二段,"SEC. 2, BATIAN RD."
八田路三段,"SEC. 3, BATIAN RD."
八田路三段水廠巷,"SHUICHANG LN., SEC. 3, BATIAN RD."
八田路三段香榭巷,"XIANGXIE LN., SEC. 3, BATIAN RD."
八田路三段堤岸巷,"TI'AN LN., SEC. 3, BATIAN RD."
八田路三段電廠巷,"DIANCHANG LN., SEC. 3, BATIAN RD."
八田路三段櫻花巷,"YINGHUA LN., SEC. 3, BATIAN RD."
八田路四段,"SEC. 4, BATIAN RD."
八甲,BAJIA
八甲路,BAJIA RD.
八份,BAFEN
八成街,BACHENG ST.
八老爺,BALAOYE
八角坑,BAJIAOKENG
八角林,BAJIAOLIN
八里大道,BALI BLVD.
八里堆,BALIDUI
八卦力,BAGUALI
八卦路,BAGUA RD.
八股,BAGU
八股路,BAGU RD.
八股路館前一巷,"GUANQIAN 1ST LN., BAGU RD."
八股路館前二巷,"GUANQIAN 2ND LN., BAGU RD."
八股路館前三巷,"GUANQIAN 3RD LN., BAGU RD."
八股路館前五巷,"GUANQIAN 5TH LN., BAGU RD."
八股路館前六巷,"GUANQIAN 6TH LN., BAGU RD."
八股路館前七巷,"GUANQIAN 7TH LN., BAGU RD."
八股路館前八巷,"GUANQIAN 8TH LN., BAGU RD."
八股路館前九巷,"GUANQIAN 9TH LN., BAGU RD."
八青一路,BAQING 1ST RD.
八青路,BAQING RD.
八桑安,BASANG'AN
八堵路,BADU RD.
八張一街,BAZHANG 1ST ST.
八張二街,BAZHANG 2ND ST.
八張巷,BAZHANG LN.
八張犁,BAZHANGLI
八張街,BAZHANG ST.
八連溪,BALIANXI
八連溪頭,BALIANXITOU
八連路一段,"SEC. 1, BALIAN RD."
八連路二段,"SEC. 2, BALIAN RD."
八連路三段,"SEC. 3, BALIAN RD."
八間路,BAJIAN RD.
八勢一街,BASHI 1ST ST.
八勢二街,BASHI 2ND ST.
八勢路,BASHI RD.
八勢路一段,"SEC. 1, BASHI RD."
八煙,BAYAN
八號巷,BAHAO LN.
八瑤路,BAYAO RD.
八寮,BALIAO
八寮灣,BALIAOWAN
八德一街,BADE 1ST ST.
八德一路,BADE 1ST RD.
八德二街,BADE 2ND ST.
八德二路,BADE 2ND RD.
八德三街,BADE 3RD ST.
八德四街,BADE 4TH ST.
八德五街,BADE 5TH ST.
八德六街,BADE 6TH ST.
八德中路,BADE CENTRAL RD.
八德北路,BADE N. RD.
八德西路,BADE W. RD.
八德東路,BADE E. RD.
八德南路,BADE S. RD.
八德巷,BADE LN.
八德街,BADE ST.
八德路,BADE RD.
八德路一段,"SEC. 1, BADE RD."
八德路二段,"SEC. 2, BADE RD."
八德路三段,"SEC. 3, BADE RD."
八德路四段,"SEC. 4, BADE RD."
八德路九如巷,"JIURU LN., BADE RD."
八德橫巷,BADE SIDE LN.
八龍路,BALONG RD.
八櫃,BAGUI
八寶路,BABAO RD.
八寶寮,BABAOLIAO
刀石坑,DAOSHIKENG
力天路,LITIAN RD.
力行一街,LIXING 1ST ST.
力行一路,LIXING 1ST RD.
力行二街,LIXING 2ND ST.
力行二路,LIXING 2ND RD.
力行三街,LIXING 3RD ST.
力行三路,LIXING 3RD RD.
力行四路,LIXING 4TH RD.
力行五街,LIXING 5TH ST.
力行五路,LIXING 5TH RD.
力行六路,LIXING 6TH RD.
力行七路,LIXING 7TH RD.
力行北街,LIXING N. ST.
力行巷,LIXING LN.
力行街,LIXING ST.
力行路,LIXING RD.
力行路一段,"SEC. 1, LIXING RD."
力行路二段,"SEC. 2, LIXING RD."
力社路,LISHE RD.
力新路,LIXIN RD.
力學路,LIXUE RD.
力霸街,LIBA ST.
十一分,SHIYIFEN
十一分路,SHIYIFEN RD.
十一份四,SHIYIFENSI
十一股,SHIYIGU
十一指厝,SHIYIZHICUO
十二佃路,SHI'ERDIAN RD.
十二寮,SHI'ERLIAO
十三分,SHISANFEN
十三北路,SHISAN N. RD.
十三甲,SHISANJIA
十三行路,SHISANXING RD.
十三東路,SHISAN E. RD.
十三南路,SHISAN S. RD.
十三巷,13TH LN.
十三張路,SHISANZHANG RD.
十三層,SHISANCENG
十四甲,SHISIJIA
十四張路,SHISIZHANG RD.
十四寮,SHISILIAO
十五間,SHIWUJIAN
十五間尾,SHIWUJIANWEI
十五路,15TH RD.
十五寮,SHIWULIAO
十六甲,SHILIUJIA
十六股大道,SHILIUGU BLVD.
十六張,SHILIUZHANG
十六結路,SHILIUJIE RD.
十六結路三城巷,"SANCHENG LN., SHILIUJIE RD."
十八份,SHIBAFEN
十八重溪,SHIBACHONGXI
十九份,SHIJIUFEN
十分街,SHIFEN ST.
十分寮,SHIFENLIAO
十甲北一街,SHIJIA N. 1ST ST.
十甲北二街,SHIJIA N. 2ND ST.
十甲北街,SHIJIA N. ST.
十甲東一街,SHIJIA E. 1ST ST.
十甲東二街,SHIJIA E. 2ND ST.
十甲東路,SHIJIA E. RD.
十甲巷,SHIJIA LN.
十甲路,SHIJIA RD.
十份,SHIFEN
十全一街,SHIQUAN 1ST ST.
十全一路,SHIQUAN 1ST RD.
十全二路,SHIQUAN 2ND RD.
十全三路,SHIQUAN 3RD RD.
十全西街,SHIQUAN W. ST.
十全東街,SHIQUAN E. ST.
十全街,SHIQUAN ST.
十全路,SHIQUAN RD.
十字路,SHIZI RD.
十足路,SHIZU RD.
十股,SHIGU
十股路,SHIGU RD.
十股寮,SHIGULIAO
十勇街,SHIYONG ST.
十美街,SHIMEI ST.
十美路,SHIMEI RD.
十茂路,SHIMAO RD.
十班坑,SHIBANKENG
十智街,SHIZHI ST.
十塊厝,SHIKUAICUO
十號路,SHIHAO RD.
十寮,SHILIAO
十寮坑,SHILIAOKENG
十興一街,SHIXING 1ST ST.
十興二街,SHIXING 2ND ST.
十興三街,SHIXING 3RD ST.
十興五街,SHIXING 5TH ST.
十興路,SHIXING RD.
十興路一段,"SEC. 1, SHIXING RD."
十興路二段,"SEC. 2, SHIXING RD."
卜溪部落,BUSI TRIBE
三十甲路,SANSHIJIA RD.
三十股路,SANSHIGU RD.
三十二份,SANSHI'ERFEN
三十六崙,SANSHILIULUN
三千路,3000TH RD.
三叉坑,SANCHAKENG
三山,SANSHAN
三山一巷,SANSHAN 1ST LN.
三山二巷,SANSHAN 2ND LN.
三山三巷,SANSHAN 3RD LN.
三山四巷,SANSHAN 4TH LN.
三山街,SANSHAN ST.
三山路,SANSHAN RD.
三中路,SANZHONG RD.
三元一街,SANYUAN 1ST ST.
三元二街,SANYUAN 2ND ST.
三元三街,SANYUAN 3RD ST.
三元街,SANYUAN ST.
三元路,SANYUAN RD.
三元路一段,"SEC. 1, SANYUAN RD."
三元路二段,"SEC. 2, SANYUAN RD."
三公路,SANGONG RD.
三友新村,SANYOU NEW VIL.
三戶巷,SANHU LN.
三月路,SANYUE RD.
三月路四平巷,"SIPING LN., SANYUE RD."
三月路大愛巷,"DA'AI LN., SANYUE RD."
三水街,SANSHUI ST.
三水源,SANSHUIYUAN
三水源南巷,SANSHUIYUAN S. LN.
三爪子坑路,SANZHUAZIKENG RD.
三爪子坑路正貿新村,"ZHENGMAO NEW VIL., SANZHUAZIKENG RD."
三爪子坑路民享新村,"MINXIANG NEW VIL., SANZHUAZIKENG RD."
三爪子坑路國中新屯,"GUOZHONG NEW VIL., SANZHUAZIKENG RD."
三仙路,SANXIAN RD.
三仙路德美巷,"DEMEI LN., SANXIAN RD."
三台,SANTAI
三央街,SANYANG ST.
三平路,SANPING RD.
三正路,SANZHENG RD.
三民,SANMIN
三民一巷,SANMIN 1ST LN.
三民一街,SANMIN 1ST ST.
三民一路,SANMIN 1ST RD.
三民二巷,SANMIN 2ND LN.
三民二街,SANMIN 2ND ST.
三民二路,SANMIN 2ND RD.
三民北路,SANMIN N. RD.
三民市場一巷,"LN. 1, SANMIN MARKET"
三民市場二巷,"LN. 2, SANMIN MARKET"
三民市場三巷,"LN. 3, SANMIN MARKET"
三民西巷,SANMIN W. LN.
三民西路,SANMIN W. RD.
三民西路二段,"SEC. 2, SANMIN W. RD."
三民東街,SANMIN E. ST.
三民東路,SANMIN E. RD.
三民南路,SANMIN S. RD.
三民巷,SANMIN LN.
三民街,SANMIN ST.
三民路,SANMIN RD.
三民路一段,"SEC. 1, SANMIN RD."
三民路二段,"SEC. 2, SANMIN RD."
三民路二段正泰二巷,"ZHENGTAI 2ND LN., SEC. 2, SANMIN RD."
三民路二段正泰三巷,"ZHENGTAI 3RD LN., SEC. 2, SANMIN RD."
三民路二段正泰四巷,"ZHENGTAI 4TH LN., SEC. 2, SANMIN RD."
三民路二段正泰五巷,"ZHENGTAI 5TH LN., SEC. 2, SANMIN RD."
三民路二段正泰六巷,"ZHENGTAI 6TH LN., SEC. 2, SANMIN RD."
三民路二段正泰七巷,"ZHENGTAI 7TH LN., SEC. 2, SANMIN RD."
三民路二段正隆巷,"ZHENGLONG LN., SEC. 2, SANMIN RD."
三民路二段居仁巷,"JUREN LN., SEC. 2, SANMIN RD."
三民路二段第二市場,"2ND MARKET, SEC. 2, SANMIN RD."
三民路三段,"SEC. 3, SANMIN RD."
三民路三段一心市場,"YIXIN MARKET, SEC. 3, SANMIN RD."
三民路六合巷,"LIUHE LN., SANMIN RD."
三民路大同巷,"DATONG LN., SANMIN RD."
三民路文化巷,"WENHUA LN., SANMIN RD."
三民路世界巷,"SHIJIE LN., SANMIN RD."
三民路光復巷,"GUANGFU LN., SANMIN RD."
三民路南興巷,"NANXING LN., SANMIN RD."
三民路科學巷,"KEXUE LN., SANMIN RD."
三民路泰山巷,"TAISHAN LN., SANMIN RD."
三永巷,SANYONG LN.
三田路,SANTIAN RD.
三甲一街,SANJIA 1ST ST.
三甲二街,SANJIA 2ND ST.
三甲三街,SANJIA 3RD ST.
三甲五街,SANJIA 5TH ST.
三甲六街,SANJIA 6TH ST.
三甲七街,SANJIA 7TH ST.
三甲八街,SANJIA 8TH ST.
三甲子,SANJIAZI
三甲北街,SANJIA N. ST.
三甲東街,SANJIA E. ST.
三甲路,SANJIA RD.
三份,SANFEN
三光一街,SANGUANG 1ST ST.
三光二街,SANGUANG 2ND ST.
三光北一街,SANGUANG N. 1ST ST.
三光北二街,SANGUANG N. 2ND ST.
三光巷,SANGUANG LN.
三光街,SANGUANG ST.
三光路,SANGUANG RD.
三全路,SANQUAN RD.
三吉,SANJI
三吉一路,SANJI 1ST RD.
三吉二路,SANJI 2ND RD.
三吉中路,SANJI CENTRAL RD.
三合,SANHE
三合街,SANHE ST.
三合街一段,"SEC. 1, SANHE ST."
三合街二段,"SEC. 2, SANHE ST."
三合路,SANHE RD.
三合寮,SANHELIAO
三圳村溪埔巷,"XIPU LN., SANZUN VIL."
三圳路,SANZUN RD.
三多一街,SANDUO 1ST ST.
三多一路,SANDUO 1ST RD.
三多二街,SANDUO 2ND ST.
三多二路,SANDUO 2ND RD.
三多三街,SANDUO 3RD ST.
三多三路,SANDUO 3RD RD.
三多四路,SANDUO 4TH RD.
三多五街,SANDUO 5TH ST.
三多六街,SANDUO 6TH ST.
三多七街,SANDUO 7TH ST.
三多八街,SANDUO 8TH ST.
三多市場巷,SANDUO SHICHANG LN.
三多東街,SANDUO E. ST.
三多街,SANDUO ST.
三多路,SANDUO RD.
三好路,SANHAO RD.
三安路,SAN'AN RD.
三成村上林路,"SHANGLIN RD., SANCHENG VIL."
三成村小西路,"XIAOXI RD., SANCHENG VIL."
三成村中平巷,"ZHONGPING LN., SANCHENG VIL."
三成街,SANCHENG ST.
三成路,SANCHENG RD.
三百六坑,SANBAILIUKENG
三竹路,SANZHU RD.
三西街,SANXI ST.
三西路,SANXI RD.
三坑,SANKENG
三坑子,SANKENGZI
三坑老街,SANKENGLAO ST.
三村一街,SANCUN 1ST ST.
三村二街,SANCUN 2ND ST.
三村路,SANCUN RD.
三村路合作新村,"HEZUO NEW VIL., SANCUN RD."
三汴街,SANBIAN ST.
三角,SANJIAO
三角子,SANJIAOZI
三角仔,SANJIAOZAI
三角店,SANJIAODIAN
三角林,SANJIAOLIN
三角林街,SANJIAOLIN ST.
三角埔,SANJIAOPU
三角堀,SANJIAOKU
三角潭,SANJIAOTAN
三里巷,SANLI LN.
三和,SANHE
三和一巷,SANHE 1ST LN.
三和一街,SANHE 1ST ST.
三和一路,SANHE 1ST RD.
三和二巷,SANHE 2ND LN.
三和二街,SANHE 2ND ST.
三和二路,SANHE 2ND RD.
三和二路一街,"1ST ST., SANHE 2ND RD."
三和二路二街,"2ND ST., SANHE 2ND RD."
三和三街,SANHE 3RD ST.
三和三路,SANHE 3RD RD.
三和四路,SANHE 4TH RD.
三和巷,SANHE LN.
三和街,SANHE ST.
三和路,SANHE RD.
三和路一段,"SEC. 1, SANHE RD."
三和路二段,"SEC. 2, SANHE RD."
三和路三段,"SEC. 3, SANHE RD."
三和路四段,"SEC. 4, SANHE RD."
三奉路,SANFENG RD.
三奇東路,SANQI E. RD.
三奇路,SANQI RD.
三姓,SANXING
三姓巷,SANXING LN.
三姓寮,SANXINGLIAO
三姓橋路,SANXINGQIAO RD.
三官路,SANGUAN RD.
三房,SANFANG
三抱竹路,SANBAOZHU RD.
三明街,SANMING ST.
三林路,SANLIN RD.
三板橋,SANBANQIAO
三油一路,SANYOU 1ST RD.
三油二路,SANYOU 2ND RD.
三油路,SANYOU RD.
三社東路,SANSHE E. RD.
三社路,SANSHE RD.
三空泉,SANKONGQUAN
三股,SANGU
三舍,SANSHE
三芝路,SANZHI RD.
三芬路,SANFEN RD.
三門巷,SANMEN LN.
三青路,SANQING RD.
三信路,SANXIN RD.
三俊街,SANJUN ST.
三城路,SANCHENG RD.
三春路,SANCHUN RD.
三星,SANXING
三星一巷,SANXING 1ST LN.
三星二巷,SANXING 2ND LN.
三星路,SANXING RD.
三星路一段,"SEC. 1, SANXING RD."
三星路二段,"SEC. 2, SANXING RD."
三星路三段,"SEC. 3, SANXING RD."
三星路四段,"SEC. 4, SANXING RD."
三星路五段,"SEC. 5, SANXING RD."
三星路六段,"SEC. 6, SANXING RD."
三星路七段,"SEC. 7, SANXING RD."
三星路八段,"SEC. 8, SANXING RD."
三星路八段236巷長埤,"CHANGPI, LN. 236, SEC. 8, SANXING RD."
三星路八段長埤,"CHANGPI, SEC. 8, SANXING RD."
三星路永福巷,"YONGFU LN., SANXING RD."
三星路福德巷,"FUDE LN., SANXING RD."
三洽坑,SANQIAKENG
三界公坑,SANJIEGONGKENG
三界埔,SANJIEPU
三界壇後,SANJIETANHOU
三界壇路,SANJIETAN RD.
三皇路,SANHUANG RD.
三美庄,SANMEIZHUANG
三美路,SANMEI RD.
三英路,SANYING RD.
三重一路,SANCHONG 1ST RD.
三重二路,SANCHONG 2ND RD.
三重三路,SANCHONG 3RD RD.
三重中路,SANCHONG CENTRAL RD.
三重西路,SANCHONG W. RD.
三重東路,SANCHONG E. RD.
三重埔,SANCHONGPU
三重溪埔,SANCHONGXIPU
三重路,SANCHONG RD.
三重橋,SANCHONG BRIDGE
三香路,SANXIANG RD.
三厝西一巷,SANCUO W. 1ST LN.
三厝西二巷,SANCUO W. 2ND LN.
三厝東一巷,SANCUO E. 1ST LN.
三厝東二巷,SANCUO E. 2ND LN.
三厝街,SANCUO ST.
三埔,SANPU
三峰一路,SANFENG 1ST RD.
三峰二路,SANFENG 2ND RD.
三峰三路,SANFENG 3RD RD.
三峰路一段,"SEC. 1, SANFENG RD."
三峰路二段,"SEC. 2, SANFENG RD."
三崁店,SANKANDIAN
三崁路,SANKAN RD.
三座屋,SANZUOWU
三座巷,SANZUO LN.
三座路,SANZUO RD.
三桃巷,SANTAO LN.
三泰街,SANTAI ST.
三泰路,SANTAI RD.
三軒,SANXUAN
三區,SANQU
三商街,SANSHANG ST.
三堵一路,SANDU 1ST RD.
三堵二路,SANDU 2ND RD.
三堵三路,SANDU 3RD RD.
三堵五路,SANDU 5TH RD.
三堵路,SANDU RD.
三崗路,SANGANG RD.
三張街,SANZHANG ST.
三條圳一街,SANTIAOZUN 1ST ST.
三條圳二街,SANTIAOZUN 2ND ST.
三條巷,SANTIAO LN.
三條峎,SANTIAOLANG
三條街,SANTIAO ST.
三清路,SANQING RD.
三盛,SANSHENG
三連路,SANLIAN RD.
三部一路,SANBU 1ST RD.
三部二路,SANBU 2ND RD.
三部三路,SANBU 3RD RD.
三部五路,SANBU 5TH RD.
三部六路,SANBU 6TH RD.
三部七路,SANBU 7TH RD.
三部八路,SANBU 8TH RD.
三部九路,SANBU 9TH RD.
三部十路,SANBU 10TH RD.
三腳石,SANJIAOSHI
三腳貓,SANJIAOMAO
三富街,SANFU ST.
三富橋,SANFU BRIDGE
三棧,SANZHAN
三港,SANGANG
三港路,SANGANG RD.
三港路水裡港巷,"SHUILIGANG LN., SANGANG RD."
三港路田仔內巷,"TIANZAINEI LN., SANGANG RD."
三港路富美巷,"FUMEI LN., SANGANG RD."
三湖,SANHU
三湖道,SANHUDAO
三結一路,SANJIE 1ST RD.
三結二路,SANJIE 2ND RD.
三結三路,SANJIE 3RD RD.
三結五路,SANJIE 5TH RD.
三結義,SANJIEYI
三華巷,SANHUA LN.
三貂里頂坑,"DINGKENG, SANDIAO VIL."
三越街,SANYUE ST.
三進四巷,SANJIN 4TH LN.
三進六巷,SANJIN 6TH LN.
三進路,SANJIN RD.
三間屋,SANJIANWU
三間厝,SANJIANCUO
三陽路,SANYANG RD.
三隆路,SANLONG RD.
三順路,SANSHUN RD.
三塊石,SANKUAISHI
三塊巷,SANKUAI LN.
三塊厝,SANKUAICUO
三塊厝路,SANKUAICUO RD.
三源,SANYUAN
三溝路,SANGOU RD.
三溝路代巡巷,"DAIXUN LN., SANGOU RD."
三溝路麥田巷,"MAITIAN LN., SANGOU RD."
三溪路一段,"SEC. 1, SANXI RD."
三溪路二段,"SEC. 2, SANXI RD."
三義,SANYI
三義巷,SANYI LN.
三義街,SANYI ST.
三義路,SANYI RD.
三聖巷,SANSHENG LN.
三聖路,SANSHENG RD.
三號路,SANHAO RD.
三誠路,SANCHENG RD.
